"gene","gene_len","transcript_len","intron_len"
"Xkr4",472012,17314,454698
"Gm18956",503,503,0
"LOC105243853",20490,18654,1836
"Gm7341",942,942,0
"LOC105242387",39669,31332,8337
"LOC105242467",243963,3941,240022
"Gm6101",5307,5307,0
"Rp1",118421,9772,108649
"Sox17",6461,5641,820
"Gm7357",4115,3275,840
"LOC105243855",3611,3260,351
"LOC105243854",7812,5112,2700
"Gm7369",1669,1169,500
"Gm29874",906,391,515
"Gm6085",841,841,0
"Gm6119",1206,1206,0
"Gm2053",630,630,0
"Gm6123",1289,1289,0
"Mrpl15",12548,6569,5979
"Lypla1",39175,2765,36410
"LOC105243856",1564,308,1256
"Tcea1",40216,3175,37041
"Gm6104",1546,1546,0
"Rgs20",160736,3692,157044
"Gm16041",8576,6337,2239
"Gm17101",1598,1598,0
"Atp6v1h",79572,3758,75814
"Gm7182",689,689,0
"Gm19070",618,618,0
"Oprk1",17685,4751,12934
"Npbwr1",3692,3692,0
"Gm19214",1074,1074,0
"4732440D04Rik",4728,3843,885
"Rb1cc1",61731,7784,53947
"Fam150a",35401,858,34543
"Gm2147",2119,2119,0
"LOC102631893",1097,1097,0
"Gm19026",11639,11639,0
"St18",373710,8009,365701
"Gm7449",659,659,0
"LOC102641523",7064,595,6469
"Gm5694",1343,1343,0
"Pcmtd1",84738,5663,79075
"LOC105243857",4033,3964,69
"Gm9826",2079,2079,0
"Nras-ps2",1985,1985,0
"Gm26901",84029,9638,74391
"Gm19002",1012,1012,0
"Gm18984",1040,1040,0
"Gm7470",2113,2113,0
"Rps2-ps2",950,950,0
"Gm17903",1118,1118,0
"LOC105243858",13821,678,13143
"Sntg1",941323,8518,932805
"Gm15452",569,569,0
"LOC102632599",1223,1223,0
"LOC102632504",845,845,0
"LOC102632382",1207,1207,0
"Gm6187",3803,1276,2527
"Gm30719",1017,602,415
"Gm18299",662,662,0
"Gm7512",1428,1428,0
"Gm18300",2156,2156,0
"Rrs1",2048,2048,0
"Adhfe1",30000,3393,26607
"2610203C22Rik",70261,1246,69015
"Gm6161",1330,1330,0
"3110035E14Rik",25876,3187,22689
"Mybl1",33033,6291,26742
"Vcpip1",29761,9749,20012
"1700034P13Rik",23609,1494,22115
"LOC105243859",15757,3698,12059
"Sgk3",104441,5622,98819
"Gm6195",4867,4867,0
"Gm2352",615,615,0
"Mcmdc2",34796,8235,26561
"Snhg6",2094,407,1687
"Snord87",74,74,0
"Tcf24",8274,4513,3761
"Ppp1r42",44920,6455,38465
"Cops5",13560,1739,11821
"Cspp1",98554,8881,89673
"Arfgef1",95164,7042,88122
"Cpa6",424268,3331,420937
"Gm15604",370,370,0
"Gm15603",1200,467,733
"Gm5522",1242,1242,0
"Prex2",310411,11573,298838
"A830018L16Rik",561798,8722,553076
"Gm30898",11584,6390,5194
"Gm30974",31950,634,31316
"Gm7560",1094,1094,0
"LOC105243860",8788,736,8052
"Mir6341",121,121,0
"Gm2383",1031,1031,0
"Gm6216",902,902,0
"Gm17644",5528,3200,2328
"Sulf1",169498,7210,162288
"Slco5a1",126384,10243,116141
"Gm5250",616,616,0
"LOC105243861",14272,253,14019
"Prdm14",13736,2593,11143
"Ncoa2",235587,9841,225746
"LOC105243863",2759,2723,36
"LOC105243862",4173,4090,83
"LOC105243864",29832,194,29638
"Gm7593",645,645,0
"LOC105243872",287,287,0
"Tram1",25218,2943,22275
"Lactb2",34713,1990,32723
"Xkr9",32986,2150,30836
"Gm2452",1311,1311,0
"Gm5523",1245,1245,0
"Gm31195",35434,573,34861
"Gm19122",852,852,0
"LOC105243865",99136,831,98305
"Eya1",141313,5622,135691
"Gm7617",655,655,0
"Msc",2669,1913,756
"LOC105243866",37142,12025,25117
"Smt3h2-ps4",1007,1007,0
"Rpl5-ps1",1002,1002,0
"Gm33500",281,281,0
"Trpa1",46367,4415,41952
"Gm5048",526,454,72
"Gm19917",3448,932,2516
"Gm10566",1212,1212,0
"Kcnb2",426832,6010,420822
"Gm6060",751,751,0
"Gm31461",2322,971,1351
"Terf1",39071,3276,35795
"Sbspon",38861,2748,36113
